state,x,y
Andhra Pradesh,-60.0,-130.0
Arunachal Pradesh,162.0,65.0
Assam,158.0,65.0
Bihar,50.0,56.0
Chhattisgarh,-7.0,-19.0
Goa,-138.0,-119.0
Gujarat,-174.0,11.0
Haryana,-95.0,114.0
Himachal Pradesh,-71.0,163.0
Jharkhand,43.0,11.0
Karnataka,-101.0,-134.0
Kerla,-99.0,-215.0
Madhya Pradesh,-73.0,3.0
Maharashtra,-105.0,-52.0
Manipur,176.0,43.0
Meghalaya,127.0,50.0
Mizoram,159.0,3.0
Nagaland,183.0,66.0
Odisha,39.0,-41.0
Punjab,-103.0,146.0
Rajasthan,-130.0,79.0
Sikkim,94.0,85.0
Tamil Nadu,-63.0,-204.0
Telangana,-57.0,-81.0
Tripura,136.0,21.0
Uttar Pradesh,-18.0,74.0
Uttarakhand,-39.0,128.0
West Bengal,85.0,13.0
